Event,Time,From Background,From Ignition
Background,6/29/16 11:21:00,,
Ignition Smoke Barrells,6/29/16 11:28:00,0:07:00,0:00:00
Ignition Rear Room,6/29/16 11:34:00,0:13:00,0:06:00
Ignition Front Room,6/29/16 11:35:00,0:14:00,0:07:00
Flames Across OSB/Close Vents,6/29/16 11:37:18,0:16:18,0:09:18
Disptach,6/29/16 11:37:30,0:16:30,0:09:30
Engine Arrives,6/29/16 11:39:30,0:18:30,0:11:30
Entry,6/29/16 11:42:00,0:21:00,0:14:00
Victim 1 Out,6/29/16 11:43:30,0:22:30,0:15:30
Victim 2 Out,6/29/16 11:48:17,0:27:17,0:20:17
Exits,6/29/16 11:50:40,0:29:40,0:22:40
Engine to Research,6/29/16 11:52:10,0:31:10,0:24:10
Truck to Research,6/29/16 11:52:14,0:31:14,0:24:14
End Experiment,6/29/16 11:56:00,0:35:00,0:28:00
