Event,Time,From Background,From Ignition
Background,6/29/16 8:51:00,,
Ignition Smoke Barrells,6/29/16 8:54:00,0:03:00,0:00:00
Ignition Rear Room,6/29/16 9:00:00,0:09:00,0:06:00
Ignition Front Room,6/29/16 9:01:00,0:10:00,0:07:00
Flames Across OSB/Close Vents,6/29/16 9:03:00,0:12:00,0:09:00
Disptach,6/29/16 9:03:30,0:12:30,0:09:30
Engine Arrives,6/29/16 9:05:28,0:14:28,0:11:28
Truck Arrives,6/29/16 9:05:47,0:14:47,0:11:47
Entry,6/29/16 9:08:25,0:17:25,0:14:25
Victim 1 Out,6/29/16 9:10:53,0:19:53,0:16:53
Victim 2 Out,6/29/16 9:12:30,0:21:30,0:18:30
Exits,6/29/16 9:16:16,0:25:16,0:22:16
Engine to Research,6/29/16 9:17:44,0:26:44,0:23:44
Truck to Research,6/29/16 9:17:56,0:26:56,0:23:56
End Experiment,6/29/16 9:21:00,0:30:00,0:27:00
